Reviewer,Review,Review Score,Review date
,Just finished. Really enjoyed this movie. Wish it would have been able to go on even longer. Great characters.,4.5,"Feb 28, 2016"
,Throws every emotional turd at the wall to see what sticks. Talented cast members glue a few of those dookies that would have otherwise slid to the floor.,3.0,"Feb 28, 2016"
,"Good movie, Robert Dinero, and Ann Hathaway, do good job in this simple comedy.",3.0,"Feb 28, 2016"
,"I enjoyed this flick, De Niro was excellent and its was a fun movie to watch.",2.5,"Feb 28, 2016"
,Well worth a cheesy watch. Far better than most rom-coms and a far better feminist comedy than the tripe that was Trainwreck.,3.5,"Feb 28, 2016"
,"This movie is such a great movie! It's a true ""feel good"" movie. It Keeps you entertained and is made really, very well. The small details they used in the scenery & in the props is truly great. The chemistry between Robert De Niro & Anne Hathaway is undeniable and makes you wanna be friends with them. :)",5.0,"Feb 27, 2016"
,It was a great movie!! love the acting of Robert De Niro & Anne hatchway they just worked together wonderfully. i would see it again.,5.0,"Feb 27, 2016"
,The story was building but the ending was totally lame. I liked it pretty much until the ending left you wondering if they ran out of money to write a decent end to the script!,3.5,"Feb 27, 2016"
,"An earnest and gentle film that's very pleasant to watch. It reminds you that regardless of how overwhelming life may sometimes be, it's important to take a step back and appreciate both the people and things around you. It's the type of film that makes you feel so warm inside, that you just want to go out and cheer up anyone who is feeling down. With De Niro and Hathaway in lead roles, I have nothing but good things to say about this movie. I absolutely loved it!",4.5,"Feb 27, 2016"
,"for a hectic Friday night with nothing else to do this film fit the bill. DeNiro and Hathaway have an unusual chemistry that seems to work, despite the fact the story is somewhat light.",3.5,"Feb 27, 2016"
,"When I set out to watch The Intern I expected charm and some laughs but what I got instead was charm and soul. The thought of Robert De Niro playing a retired widower would have seemed ridiculous 25 year ago but he plays the role so well that you forget his gangster ridden past to enjoy his moving insight. De Niro and Anne Hathaway play off each other like old friends and it was a refreshing take on a high strung boss who takes herself too seriously while her underlings clamor for the corners. It was a thoughtful and delightful film to be sure and it harkens back multiple times to Ms. Hathaway's star turn in The Devil Wears Prada. A truly enjoyable film to be sure, so grab the popcorn and relax because this film is in the hands of two veterans.",4.0,"Feb 26, 2016"
,I really enjoyed this movie. Hathaway and De Niro worked well together.,3.5,"Feb 26, 2016"
,"It was a nice, sweet movie. A role well essayed by Robert De Niro. It's a movie which fits in the current scenario very well, about the role of women in today's scenario? Is she a mother, a office going colleague, or someone who is able to balance both successfully, which is rare. The dialogues were pretty good; Robert De Niro, as Ben Whittaker is not preachy at all, yet he sends his message across to both the men and women alike. As the tagline says, ""Experience never gets old."" and I personally should respect it. It had a moral in it too. So all in all a job well done by all the people involved. Cheers!",3.5,"Feb 26, 2016"
,A sweetly entertaining film with a better than average late period performance from De Niro.,3.0,"Feb 25, 2016"
,"Personally to me, this is De Niro's most charming and heartwarming role yet. The chemistry between him and Hathaway just feels so natural. The great message of bridging of the generation gap is one that is very timely indeed.",4.0,"Feb 25, 2016"
,deniro and hathaway carry this otherwise bland story,3.0,"Feb 25, 2016"
,Great movie.... Until the ending! Really wanted to have something that concluded it more than what was shown.,3.5,"Feb 24, 2016"
,"Charming movie for adults who enjoy good acting, great cast, and excellent script. De Niro has one of his better recent rolls with an understated character that nevertheless shows a 70 year old senior can make a great contribution to a young web based start up by just being a calming voice in the storm. Anne Hathaway is brilliant as always as the CEO who is overwhelmed by job and family. You'll find the pace of the movie is somewhat slower than many but it has it's action and humor moments. I hope De Niro can find more rolls like this in his golden years.",3.0,"Feb 24, 2016"
,with a few laughs and good heart this movie is mainly carried by Anne Hathaways acting its worth a watch if your bored but its nothing I would go out of my way to watch,3.0,"Feb 23, 2016"
,"A simple light hearted movie, good to watch.",3.5,"Feb 23, 2016"
,"First rate performances by Robert De Niro and Anne Hathaway. Clever, cute, and fun, with some realism/drama thrown in for good measure. This movie could even inspire guys getting back to the era of being gentlemen. Who knows! Rating: 7 / 10",3.5,"Feb 22, 2016"
,Cute and enjoyable. I didn't get a chance to see it in the theater but it was fine to see it at home. I love DeNiro so I had to see it. Not a bad rent at all.,3.0,"Feb 22, 2016"
,Deniro/Hathaway are a really good pair. Another film you get like you've seen before but really enjoyed it throughout the film.,3.0,"Feb 22, 2016"
,"Agradable comedia familiar en la que Robert De Niro vuelve a demostrar que puede ser un grandísimo actor con amplios registros, haciendo sombra incluso a una gran actriz como Anne Hathaway. Es posible que algunos momentos la trama peque de demasiado edulcorada, y se acerca peligrosamente a ser una película no demasiado feminista...bala que consigue esquivar alejándose del tópico, tan americano, de que ""la familia es lo primero"" (especialmente si eres mujer). Muy recomendable.",3.5,"Feb 21, 2016"
,The intern. A novel twist on the normal post graduate intern ship within high rise companies. Ben Whittaker (de niro) is a retired widow looking and longing for something to fill in his days. After seeing an advert for an intern ship for the over 65's he took the plunge and got the job. After adapting to the role he fits right in and his mentor is none other than Jule Ostin (hathaway). Delving deep into personal life of Jules there is much to see and help with and the pair build up a friendship. Lovely fun comedy movie. Cute and lovable movie.,3.5,"Feb 21, 2016"
,"I really enjoyed it! Quick pace, never wished it was over or thought it was too long. Acting was good, I want to be like Deniro's character even though I'm 45 years younger! The plot fairly guessable but it was definitely a feel good movie and nothing was really aggravating like when they make it wicked depressing. I would recommend!",5.0,"Feb 21, 2016"
,I absolutely loved this movie...It was an amazing movie...Perfect for a Sunday Afternoon with your sweetie....,5.0,"Feb 21, 2016"
,"beautiful movie ! awesome Story line , Robert Dinero surprising me in his role which he played fenominal. Comedy and Drama well well balanced. Moral views were ð???, I would watch it again and again . will win awards I believe",5.0,"Feb 21, 2016"
,"Who says chivalry is dead? Who says there are not still great movies being made. Probably the idiots that write most of the movie reviews on Redbox, or Rotten Tomatoes. The Intern was a fabulous movie. I would have given it four stars, but there was a plot point that wasn't that believable and therefore took away from what was else excellent entertainment. As long as Robert DiNero keeps making movies like this in his seventies he could go down as the greatest male actor of our time! The chemistry between he (Ben) and Anne Hathaway ""Jules"" was dynamic and most enjoyable. You could say they were better science buddies than DiNero and Jennifer Lawrence (Silver Linings Playbook). I would give Ben and Jules) an A+. I'll admit I was a little hesitant to see this movie...Anne Hathaway... I felt like she was getting too full of herself after hrr Oscar, Batman etc. I'll tell you what I am once again a huge fan. (Anyone remember ""Far and Away?""). She was perfect for this role. I also enjoyed all the younger ""brat-pack"" they cast as Ben's sidekicks in the movie. there were some really funny and charming scenes between all of them. I would put this right up there with ""Devil Wears Prada."" I wanted the movie to keep hoing. The characters were so enticing that you kept wanting more scenes. (maybe a part II?...I hope so) DiNero proved in Meet the Parents movie how great of a comedic actor he is. I thought his character was funny and energetic and heart-warming, and classy, and everything else that is lacking in movies today. OK so I'm not going out on a limb when praising DiNero...I get it, but it is worth my time and energy to say how great he is in this movie. I have been noticing and paying closers attention to musical scores in movies lately. I have seen some potentially good movies fall flat because of lack of music, or Too much noise. In this movie it set a real good feel and tone. The orchestrated music was symbiotic with the visual scenes. Like a perfectly mixed drink, just the right amount of sweet. The songs that were used hit the right notes also. All in all a pleasant surprise and really hit the spot (won't say ""spot on"" because I'm not British, nor do I want to be). Nancy Meyers wrote and Directed the movie and I have to give her ""Props"" it had same feeling as Sleepless in Seattle and other Nora Efron movies. I won't forget my Handkerchief when I go to Church tomorrow.",3.5,"Feb 20, 2016"
,"De Niro has found his second wind as a comedic presence, still hard to see ""Tommy"" from Goodfellas without thinking he's going to kick somebody in the teeth. Cheesy, rather predictable, but really heart-warming. Anne Hathaway is actually likable in this one, not many times I've found that to be true.",3.5,"Feb 20, 2016"
,highly recommended. affirms masculinity and true femininity.,5.0,"Feb 20, 2016"
,"The worlds best optimist The Intern does not need to reinvent the wheel, and succeeds in doing what it intended, a feel good comedy about an unlikely friendship. Where the Intern goes right is with its actors and characters. Both have remarkable and fun chemistry which is both humorous and fun. De Niro's character is absolutely irresistible as the teddy bear like Intern who turns Hathaways frown upside down. Another significant positive is that the film makes you feel very good throughout, really helping the viewer buy into this relationship. The film does not do anything remarkable, it is just a fun and cute simple and cliche movie that is just ""alright."" It does have scenes that do not contribute to the plot. Overall it is a fun and small film that knows exactly what it is even though it is faulty in the fact that it feels very predictable. Rating: 7.2 (B-)",3.5,"Feb 20, 2016"
,"+ Yes, maximal have-it-all chick flick. But both those who like it and those who don't are correct. So have a guilty look-see! Very pretty, shiny production. DiNiro can do it all ... if a bit cliched !!",4.0,"Feb 20, 2016"
,"Nice movie, nothing special, just a nice movie.",4.0,"Feb 20, 2016"
,Great feel good movie. Inspires you to take a stand for doing what you love.,5.0,"Feb 20, 2016"
,Very nice! We all enjoyed this movie. Great family fun together.,5.0,"Feb 19, 2016"
,EXCRUCIATINGLY SEXIST!,1.5,"Feb 19, 2016"
,Excellent movie which sends you on an emotional roller coaster. Why didn't Robert DeNiro or Anne Hatheway receive Oscar nods for this movie? I'm crying while typing this. Everyone needs to see this movie.,5.0,"Feb 19, 2016"
,"Despite a unique premise, ""The Intern"" can't overcome its trite and contrived storytelling.",2.0,"Feb 19, 2016"
,A good old fashioned feel good movie. Good work all the way around.,3.5,"Feb 19, 2016"
,Good movie. Not just a chick flick. These two paired was genius.,4.0,"Feb 19, 2016"
,Loved it but ending wasn't my preference.,5.0,"Feb 19, 2016"
,i thought it was a pretty good movie,3.0,"Feb 18, 2016"
,"Robert De Niro comes back from some ridiculousness to give us a great character, and proves great chemistry with Anne Hathaway. However, cliches and the strive for a feel-good-film hold back the potential The Intern was building.",3.0,"Feb 18, 2016"
,"This movie was really pretty terrible, much worse than I would have guessed. Full of unrealistic and interesting plot lines, lackluster dialogue, a real waste of talent for both Robert De Niro and Anne Hathaway. I couldn't wait for it to be over.",1.0,"Feb 18, 2016"
,Light and cute. Enjoyed it.,3.5,"Feb 17, 2016"
,"Okay film, was pretty good for the first hour, second hour the plot fell apart, had a terrible ending that ruined the two main characters.",1.0,"Feb 17, 2016"
,"Sweet movie. About hardships, trust, friendship and happiness. shows that seniors can give great life lessons.",4.0,"Feb 17, 2016"
,Surprisingly good. De Niro and Hathaway carry the film as expected. Great to watch with your ambitious partner or...your unambitious partner.,4.0,"Feb 17, 2016"
,There's really not enough substance to keep the film interesting. Throughout the film I was just curious what big plot twist was coming. Turns out the twist was there was none.,1.0,"Feb 16, 2016"
,This movie was horrible and couldn't get more cliche,1.0,"Feb 16, 2016"
,"Nice, feel good, dramedy!",4.0,"Feb 16, 2016"
,I love Bobby D but this movie was beyond corny and not in a good way. Acting w as stiff and dialogue nauseating.,2.0,"Feb 16, 2016"
,"Una pelicula normalita, pero amable y agradable de ver. No habría pagado por verla, pero para verla en un avión como hice yo esta bien.",2.5,"Feb 16, 2016"
,"Very warm, sweet story.",3.5,"Feb 15, 2016"
,I loved this so much more than I thought I would. Anne Hathaway and Deniro are both so good.,4.5,"Feb 15, 2016"
,"A surprising hit for me. I saw this more than once in theaters, and it's just one of those films you can watch over and over. Everyone did a fantastic job, especially De Niro and Hathaway. Awesome all around; a classic Nancy Meyers movie.",5.0,"Feb 15, 2016"
,"Sometimes charming, a bit too perfect ending, the movie has lazy script writing but still it's fun to watch. The performance of the leads - Robert De Niro and Hathaway are great, especially De Niro who carries the movie from the first shot with his pleasant personality.",3.0,"Feb 15, 2016"
,"Muy dulce, muy correcta, sin ser tan cheesy. Bonita de ver, te deja con una buena sensaciÃ³n.",3.5,"Feb 14, 2016"
ken k,first half was really good. second half not so much...,3.0,"Feb 14, 2016"
,"Nancy Meyers is back with a flamboyant comedy, modern, inspired, light and refreshing but somehow built on solid values that everyone can relate to in some ways. A popular comedy with heart brain and some amazing human moments, this film is a little spark of hope and delight in times of highly dramatic Superheroes narratives usually lacking depth on the human level. Anne Hathaway and Bob DeNiro will give you back some trust in our humanity and delivers terrific performances throughout the film. Their alchemy is obvious and the film benefits greatly from it. I really believe this is a great film about our times, the changes, the struggles to adapt but also the importance of having friends, moral support and above all, people that respect you and love you unconditionally, because all that you will never get it from an app...",3.5,"Feb 14, 2016"
,"It kept our attention with a continued interest in upcoming scenes. Great chemistry between actors even with the gap in age. It's heart warming, funny, and smart all in one package. I wouldn't mind watching it a second time and recommend for men, women, and teens.",4.5,"Feb 14, 2016"
,"Probably the worst movie I've ever watched. So cliche & contrived.... Not only did I not laugh, I didn't even smirk.",1.0,"Feb 14, 2016"
,"The Intern is a usual comedy. That's the only good and bad thing about it. It fails to differ from other movies of its genre, and is nothing unique, special, or creative. Still, The Intern is enjoyable, and successfully brings a smile.",4.0,"Feb 14, 2016"
,Love DeNiro in any movie!,4.0,"Feb 14, 2016"
,Filme super divertido!,4.0,"Feb 13, 2016"
,"Fun movie, it has a real feel to it cause it portrays modern values very well, and talks about new york life style and who doesnt love that? But rather predictable...but in a good way. You kinda want what you predict to actually happen at the end cause otherwise it would be too disappointing. Although ending is predictable, it also brings something fresh in movies.",2.5,"Feb 12, 2016"
,"Cute movie. Robert DeNiro is lovely in this. This film is interesting since it does not follow the traditional film format, per se - but it still works.",3.5,"Feb 12, 2016"
,Great Valentines Day flick with my husband. The characters and acting make the film. I'd watch it again and again.,5.0,"Feb 12, 2016"
,"-The Intern is een 2015 Amerikaanse komedie film geregisseerd, geproduceerd en geschreven door Nancy Meyers. De film sterren Robert De Niro en Anne Hathaway in de twee hoofdrollen, met ondersteunende optredens van Rene Russo, Anders Holm, Andrew Rannells, Adam DeVine, Christina Scherer en Zack Pearlman. De film werd uitgebracht op 25 september 2015 door Warner Bros. --Kritische reactie: -The Intern ontving gemengde kritieken van critici. Op Rotten Tomatoes, de film heeft een score van 60%, gebaseerd op 159 reviews, met een gemiddelde score van 5.8/10. De site's kritische consensus luidt: ""The Intern doet niet genoeg met haar tijdige premisse, maar profiteert van de onorthodoxe chemie van haar getalenteerde afleidingen."" Op Metacritic, heeft de film een score van 51 uit 100, gebaseerd op 36 critici, met vermelding ""Gemengde of gemiddelde beoordelingen"". CinemaScore kondigde aan dat publiek de film een gemiddelde cijfer van ""A-"" op een A+ naar F-schaal heeft. -Richard Roeper heeft de film een ""A-"", waarin ""met enige echte inzichtelijke dialoog, een aantal echt grappige stukjes fysieke business en kleine scènes waardoor ons toestaan te kennen en bevallen van een half dozijn ondersteunende spelers, The Intern groeit ons van scène naar scène, van moment tot moment."" -Manohla Dargis in The New York Times schreef: de film was een zinnebeeld van Nancy Meyers' andere films: ""schuimig, speels, homogeen, routinematig gekmakende, doorgaans onweerstaanbare."" ondanks fouten zoeken met ""luie scenarioschrijven"" en ""Meyers's verwarde ideeën over krachtige vrouwen,"" Dargis prees Meyers voor ""de slimste keuze maakt ze in ""The Intern"": Meneer De Niro, haar breedste, meest waardevolle speler"" die ""bezit de film vanaf het moment dat hij zijn mond opent "" Hathaway's rol werd afgespiegeld als ""minder van een personage en meer van een snel wandelen, snel sprekend-collectie van geslacht grieven."" -Clem Bastow, schrijvend voor The Guardian suggereert dat slechte beoordelingen van de film voornamelijk van mannen komt, die de overgrote meerderheid van filmcritici vormt Goed geacteerd / vermakend",3.5,"Feb 12, 2016"
,An easygoing fun drama that should be an example of what drama is supposed to be and a classic that is fun to watch from time to time. Robert de Niro and Anne Hathaway's chemistry is carrying the whole film on their shoulders.,5.0,"Feb 12, 2016"
,boring and predictable,2.0,"Feb 12, 2016"
,"Great family movie. A few adult situations, but little to no swearing and no nudity. Great acting from both DeNiro and Hathaway",5.0,"Feb 12, 2016"
,Heartwarming and relevant story line,4.0,"Feb 10, 2016"
,Full of clichés yet saved by a gentle unfolding of a developing friendship between the two main characters.,3.5,"Feb 9, 2016"
,"A lovely, charming and wholesome film.",4.0,"Feb 9, 2016"
,"I absolutely loved this movie, great cast, great script and direction from Nancy Meyer as well. Robert Deniro and Anne Hathaway are great in this movie as well as two of the three cast members of Workaholics have roles in the movie as well and do a great job in their roles. A definite feel good movie that will leave you smiling.",5.0,"Feb 9, 2016"
,Disappointed. A good comedy quickly turned dark.,1.0,"Feb 9, 2016"
,"Di niro and Hathaway are amazing togther .Add a great supporting cast and a snappy, fun script and you have a couple of hours of escape fun and a good feeling exiting the theater. Di Niro never ceases to amaze me with his wonderful ability to switch from Drama to comedy. This is the sign of greatness!",4.0,"Feb 9, 2016"
marjon o,Terrible film with a terribly boring storyline.,0.5,"Feb 9, 2016"
n a,first half is great second half it falls apart . should have been fifteen mins shorter,3.0,"Feb 8, 2016"
,"Beautiful movie that has covered so many aspects of our everyday life! Nancy Meyers is an amazing producer! Brilliant movie, that puts you in such an ease and makes you want to watch more and more of it. Lots of laughs and ending was a true blessing. We have rented it, but will buy it so that to support Nancy's beautiful job and for gifting us two hours of real joy!",5.0,"Feb 8, 2016"
,"I do NOT like this movie. If the roles were switched and the woman was cheating on the man, he could have left her ass and found another one in a hot second. If the wife was cheating, shes a slut. Since the man is cheating, he is acting on an impulse. Shits fucked up.",1.0,"Feb 8, 2016"
,"This movie turned out to be, dare I say, a ""cute"" palette cleanser. Bobby D is of ultimate class. In a span of 48 hours, I saw him in Dirty Grandpa and this, and you couldn't come up with two diametrically-opposed characters if you tried. For once, he's not playing a badass gangster (Godfather Part II or Goodfellas) or a raunchy asshole (the aforementioned Dirty Grandpa). The movie also shines a light on milennial issues: The rise of technology, women running a company, stay-at-home dads. It's refreshing to see a movie where the conflict doesn't come from impending doom; instead, the conflict arises from strained relationships. The movie shows that everyone needs someone in their corner--someone to talk to, someone to be their rock in life.",4.0,"Feb 8, 2016"
,very wholesome movie. will be at the top of my list for a while.,5.0,"Feb 8, 2016"
,A quirky weaving of two generations.,5.0,"Feb 8, 2016"
,fantastic surprise of a film. Robert de niro deserves more roles like this.,4.0,"Feb 7, 2016"
,"This movie has such a warm heart, so it was almost impossible for me not to like it. Robert DiNero and Anne Hathaway give surprisingly deep performances, and have such amazing chemistry together, which was even more surprising. The ensemble cast is also quite good as well. This movie was a pleasant surprise and I definitely recommend it.",4.0,"Feb 7, 2016"
,This movie was extremely motivational and told a story of an amazing tale of a woman who could balance a family and her very own business.,5.0,"Feb 7, 2016"
,What a great movie! Comical yet sentimental! No cuss words and no sex scenes! So refreshing!,5.0,"Feb 7, 2016"
,Very watchable light comedy that gets a bit too cliche towards the end.,3.0,"Feb 7, 2016"
,"3 for good effort though mostly from the supporting cast, but fell short in many ways. Great tween & teen movie. Most annoying cast was Anne Hathaway herself with a disingenuous performance fitting an out of control freak like leader.",3.0,"Feb 7, 2016"
,"Depending on your mood, it's either terribly inoffensive or just plain terrible!",2.0,"Feb 7, 2016"
,thought I would like this one but it was kind of boring.,2.0,"Feb 7, 2016"
,"Good movie; definitely worth watching. The trailer (which I never saw) probably cast it as a comedy, but it definitely is NOT a comedy. Pretty good light drama.",3.0,"Feb 7, 2016"
,"Cute, but nothing special.",3.0,"Feb 7, 2016"
,"Inspirational. Funny. Heartwarming. This move was as awesome as I expected it to be. I loved how Robert De Niro played the senior intern. He fit that character really well, and made the whole plot much more hilarious than expected to be. Overall, the movie is a must watch!",4.0,"Feb 6, 2016"
,I enjoyed it very much not something I usually sit and watch I'm more in violence and horror but the story line was sweet to the heart,4.0,"Feb 6, 2016"
,"Awful. An example of how me being open minded with Movies can sometimes blow up right in my hairy face. For those that don't know, De Niro used to be an Actor and starred in such films as Raging Bull, and Tax Driver,among many other Classics, now he's starring opposite Anne Hathaway (she is good usually but not in this) as an old man that gets...I can't even be arsed to explain, I think you get where I'm coming from.",1.0,"Feb 6, 2016"
lenny r,"great acting, love the chemistry between RDN and AH",4.0,"Feb 6, 2016"
,So bad I can't even find the words to describe.,0.5,"Feb 5, 2016"
,"De Niro and Hathaway - together at last! Did not expect to like this as much as I did. Goofy, broad comedy mixed with heavy personal drama, with some reasonably interesting things to say about gender roles and the role of the elderly in modern society. But it's really the two heavyweight leads who make it so watchable. Sure, De Niro's golden age is behind him, but the depth and nuance he brings to kindly old gent Ben (played with subtlety, as this is obviously a less showy role than the Bickles and LaMottas) show that he still very much has the chops - he makes the role his own to the point that it's impossible to imagine another actor playing it. The Way is typically riveting, switching between the light and heavy with her usual skill. The movie has kind of a sitcom premise, but manages to rise above it to be a surprisingly affecting platon-com (patent pending).",4.0,"Feb 5, 2016"
,Eh. Alright but I had hoped it would be more comedy ish,2.0,"Feb 5, 2016"
,"The Film is nicely shot, composed and put together, Ann Hathaway puts on a great performance I like her more and more as an actress definitely grade A but I don't think this film has a the right message that it's ok to over work and not make time or some time for your families and not expect a negative outcome because of it, or maybe I'm just over thinking things. The movie isn't shy about feminism but frankly I find it to be nonsense since Entrepreneurs who don't make time for their families male or female usually struggle in their relationships. It's kind of the case with a lot of successful male Entrepreneurs since Entrepreneurship became a thing. The film though is a great insight into the lives of Entrepreneurs, they tend to put it more hours running their business than their employees, again regardless of a persons sex it's generally the same story for a lot if not all young business upstarts.",3.0,"Feb 5, 2016"
,"I recently watched the movie"" The Intern,"" and I think the movie is great. The chemistry between Robert and Anne is so fabulous. Despite I thought the movie was a comedy movie at first, it is a really warm and fragrant one that tears wear up in my eyes at the end of the movie. Robert is so cute and he interpreted Ben really well. Although being aged, Ben still wanted to gain something in his late life. He applied an intern for Anne's company not just because he wanted to do something but he wanted to be needed. He gave advices to Julie and people all around him, in other words, he was a wise man and very experienced in everything that people would encounter in their long life journey. Sometimes you expect so hard and eagerly to show up a person who can give you advices to you when you have a hard time and I regarded Ben as the sage in this movie. Compare with Julie and Ben, life could be busy in former and could be hopeless and depressed in later, but watched how they hit a balance between their lives by learning from each other. I highly recommend ""The Intern,"" to all of my friends and you guys and I found umm... Nancy Meyers is a director that could really show gentle and subtle of the character and the playbook she wrote. Love the movie love Robert De Niro so much.",5.0,"Feb 5, 2016"
,Big build up to a disappointing ending but plenty of charm along the way.,2.5,"Feb 4, 2016"
,Really feel good movie.,5.0,"Feb 4, 2016"
,"I thought this was a pretty good movie,however I didn't like the way it ended.",3.5,"Feb 3, 2016"
,enjoyable.but dont tell the wife i said that,3.0,"Feb 3, 2016"
,"A light-hearted performance from De Niro and Hathaway produces a great movie with a strong mix of emotions induced in the audience. The audience really grows to love both characters, and the way each interacts with other characters. Strong performances.",4.0,"Feb 3, 2016"
,Was it the glass of red? I liked it!,3.5,"Feb 2, 2016"
,"Loved this movie. It was well done, had a sweet storyline and wonderful chemistry.",3.5,"Feb 2, 2016"
,"Sure to be a classic. The Intern is a clean comedy movie that is actually fairly funny (rare thing these days) with a likeable cast. And even when it's not being directly funny it's enjoyable to watch. Probably best of all, is that it doesn't follow a typical formula, like so many movies these days. Only complaint is that the ending felt kind of abrupt and unsatisfying. With that said, I'm not sure how I would have done it differently either, so I have respect for the guts taken to end it there, when there was really nowhere else for it to go.",4.0,"Feb 2, 2016"
,"okay but predictable; not half as good as ""its complicated""..",1.5,"Feb 2, 2016"
,"The Intern is a cute comedy with lovable lead performances from Robert De Niro and Anne Hathaway. De Niro plays a true gentleman in this movie, the kind of great guy we all strive to be. He plays this perfectly and I loved him in the role. Hathaway could be annoying at times, but thats goes great with her character and growth. Her strong friendship with De Niro is the highlight of the film and it completely works. The humor was extremely fun and it didn't feel forced, it flowed well with the characters. My only real issue is that the movie isn't really original. While it has a fun concept, the movie doesn't try to be anything different or new. It goes down exactly as you expect. But I really enjoyed The Intern, and I enjoyed seeing De Niro and Hathaway together even more.",3.5,"Feb 2, 2016"
,It's a cute and sort of quirky movie that you just don't see anymore.,3.5,"Feb 1, 2016"
,Un bon film divertissant Ã  regarder en famille.,4.0,"Jan 31, 2016"
,gr8 another lost review flixdicks!,4.0,"Jan 31, 2016"
,"engaging, funny and touching... for someone my age, self reflecting.",5.0,"Jan 31, 2016"
,Predictable performances by the two principal actors. A pleasant diversion.,3.0,"Jan 30, 2016"
,"A very moving film with a nice pace and rhythm to it, connecting on a lot of different levels from a retired boomer needing to find meaning in his life to a hard-charging businesswoman who also needs more meaning of a different kind in her life. Well acted, well written, well directed, this is not a sappy flic in the least but definitely a sensitive piece that won't piece that",5.0,"Jan 30, 2016"
,loved it!! Ann is awesome and Robert character was realistic performed!! something that older people are facing today's technology,5.0,"Jan 30, 2016"
,"One does not watch Nancy Meyers movies because they're experimental or hard-hitting. One watches Nancy Meyers movies because they are well put together, center on strong female characters, and have beautiful kitchens. This movie does not disappoint on any of those fronts and it also pulls off the rare trick of focusing on a male/female friendship that has nothing to do with sex. Also, Hathaway and Deniro are very, very good actors.",3.5,"Jan 30, 2016"
,"Pretty good, but plot was a bit too simple. A good airplane watch",3.0,"Jan 30, 2016"
,one of the best movies ever.. Hathaway and De Niro are phenomenal..,5.0,"Jan 30, 2016"
,"This movie is basically Devil Wears Prada-lite, except the jokes aren't as good. Every joke is about age. Smartphones vs flip phones. Writing vs typing. Phone books vs contacts list. You can guess how it ends.",1.5,"Jan 29, 2016"
,"7.5/10 Very sweet (too much I think), feel-good movie. Quite entertaining.",3.5,"Jan 29, 2016"
,"Cute and amusing, with a good performance by Hathaway but very mediocre performance by De Niro in a fairly predictable and elementary film that ran a little too long. Not something to go out of your way to see but enjoyable enough to watch.",2.5,"Jan 28, 2016"
,"Enjoyable comedy, pace very easy to follow and very loveable characters. Lightweight and fun.",5.0,"Jan 28, 2016"
,awesome movie!!!!!a MUST SEE!!!,5.0,"Jan 26, 2016"
,I don't know but I love it,5.0,"Jan 26, 2016"
,Worst Ending Ever! No closure and it's a pretty good film until it abruptly fades away. It's almost as if they ran out of money or didn't know how to conclude the film. It was pretty disappointing.,2.5,"Jan 26, 2016"
,"Predictable, but, satisfying entertainment.",3.5,"Jan 26, 2016"
,YES!!! The Intern concepts are witty and adventurous!! Deserving of a much more higher rating than these weird professional critics are giving it. The Intern had me fully immersed in the movie with light hearted humour and relationships of emotional value!,5.0,"Jan 26, 2016"
,"A very heart-warming, pleasant movie. Predictable and cliche, yes, but fun nonetheless. De Niro and Hathaway alone give you two reasons to see it.",3.0,"Jan 25, 2016"
,"Emotional, funny, heartwarming just to name a few. This movie was my favourite romantic comedy of the year.",5.0,"Jan 25, 2016"
,"Without knowing too much about the plot, I assumed this was taking De Niro down a familiar trodden path of another ""Fokker"" type role. How wrong I was! This is a very endearing, gentle and easily watchable escapade that sees an ageing De Niro being given an internship with an e-commerce fashion company and becoming surprisingly useful at bestowing his considerable knowledge to his new colleagues. I can't remember ever seeing De Niro play such a likable role without seemingly any flaws to his character. Hathaway charms her way through the film and there's a nice cameo from Russo as a love interest. A film that doesn't try too hard to be funny and comes across better for it.",3.0,"Jan 25, 2016"
,Pretty good movie. Really liked the acting and Hathaway and DeNiro played well off one another. I think they left a lot of the story unresolved though - why was the relationship with her mother the way it was and what's the deal with the hubby...,4.0,"Jan 25, 2016"
,"A lovely film about the value of relationships, including inter-generational ones. Really uplifting.",4.0,"Jan 25, 2016"
,Kinda loved the movie. Its a light hearted comedy and refreshing. Beautiful chemistry b/w De Niro and Hathaway.,4.5,"Jan 25, 2016"
,Robert de Niro plays a very sweet grandpa-ish character. Anne Hathaway is very convincing and most ambitous working moms will be able to relate to her character. A cute movie to watch when you need to feel good about the dog-gone world.,3.5,"Jan 25, 2016"
,"Starts out strong, but soon plummets into corny, pull at the heartstrings crap.",2.5,"Jan 24, 2016"
,Heart warming and refreshing. A definite own and recommend.,3.0,"Jan 24, 2016"
,What a nice movie that gets you in the feels. Well acted. A story of how an old schooled retired widower helps a young overwhelmed business owner who needs emotional as well as business help.,4.5,"Jan 24, 2016"
,Really good movie! The trailer was misleading which annoyed me but the movie was a great movie! Slow paced so I would suggest this for a chill lay in the bed and eat ice cream type of movie!,4.5,"Jan 24, 2016"
,Awesome feel good movie. My husband loved it too. Funny and heartfelt.,5.0,"Jan 24, 2016"
,"Pointless, plot locking, non scripted movie of dribble",2.0,"Jan 24, 2016"
,This movie was thoroughly pure entertainment and I loved everything about it. It kept you on your feet and gave you a nice relaxed feeling to watch.,5.0,"Jan 24, 2016"
